Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1983-04-01,215749963067.03,1190.0,55.415,1795.94,5.0,3.0,7.0,750093698.5,19.0,287.6942224135755,0.5448461538461539,1.0555555555555556,0.15958619812418093,0.5236552688849654
1983-05-01,215217708848.82333,1190.0,55.46,1795.94,5.0,3.0,7.0,751516082.6666666,19.0,286.4532111133524,0.5455384615384615,1.0555555555555556,0.1589259027908134,0.5236552688849654
1983-06-01,214685454630.61667,1190.0,55.505,1795.94,5.0,3.0,7.0,752938466.8333334,19.0,285.21219981312925,0.5462307692307693,1.0555555555555556,0.1582656074574459,0.5236552688849654
1983-07-01,214153200412.41,1190.0,55.55,1795.94,5.0,3.0,7.0,754360851.0,19.0,283.9711885129061,0.546923076923077,1.0555555555555556,0.15760531212407836,0.5236552688849654
1983-08-01,213620946194.20334,1190.0,55.595,1795.94,5.0,3.0,7.0,755783235.1666666,19.0,282.73017721268303,0.5476153846153846,1.0555555555555556,0.15694501679071085,0.5236552688849654
1983-09-01,213088691975.99667,1190.0,55.64,1795.94,5.0,3.0,7.0,757205619.3333334,19.0,281.4891659124599,0.5483076923076924,1.0555555555555556,0.15628472145734335,0.5236552688849654
1983-10-01,212556437757.79,1190.0,55.685,1795.94,5.0,3.0,7.0,758628003.5,19.0,280.24815461223676,0.549,1.0555555555555556,0.1556244261239758,0.5236552688849654
1983-11-01,212024183539.58334,1190.0,55.730000000000004,1795.94,5.0,3.0,7.0,760050387.6666666,19.0,279.0071433120136,0.5496923076923077,1.0555555555555556,0.1549641307906083,0.5236552688849654
1983-12-01,211491929321.37668,1190.0,55.775,1795.94,5.0,3.0,7.0,761472771.8333334,19.0,277.7661320117905,0.5503846153846155,1.0555555555555556,0.15430383545724077,0.5236552688849654
1984-01-01,210959675103.17,1190.0,55.82,1795.94,5.0,3.0,7.0,762895156.0,19.0,276.52512071156735,0.5510769230769231,1.0555555555555556,0.15364354012387327,0.5236552688849654
1984-02-01,212658354766.46335,1190.0,55.8625,1795.94,5.0,3.0,7.0,764340733.3333334,19.0,278.189913271892,0.5517307692307692,1.0555555555555556,0.1545216072526489,0.5236552688849654
1984-03-01,214357034429.75668,1190.0,55.905,1795.94,5.0,3.0,7.0,765786310.6666666,19.0,279.8547058322167,0.5523846153846155,1.0555555555555556,0.15539967438142455,0.5236552688849654
1984-04-01,216055714093.05002,1190.0,55.9475,1795.94,5.0,3.0,7.0,767231888.0,19.0,281.51949839254144,0.5530384615384616,1.0555555555555556,0.1562777415102002,0.5236552688849654
1984-05-01,217754393756.34335,1190.0,55.99,1795.94,5.0,3.0,7.0,768677465.3333334,19.0,283.1842909528661,0.5536923076923077,1.0555555555555556,0.15715580863897585,0.5236552688849654
1984-06-01,219453073419.6367,1190.0,56.0325,1795.94,5.0,3.0,7.0,770123042.6666666,19.0,284.84908351319075,0.5543461538461538,1.0555555555555556,0.1580338757677515,0.5236552688849654
