Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1994-08-01,225002303459.05417,23222.5,76.56583333333333,39911.69333333333,4.0,6.0,8.0,7943211.333333333,22.0,28324.682112207847,0.8702435897435897,1.2222222222222223,0.8524307399360247,0.9719629056654886
1994-09-01,228024061956.54333,23300.0,76.58666666666667,39982.21666666667,4.0,6.0,8.0,7944224.666666667,22.0,28701.585090615117,0.8705641025641025,1.2222222222222223,0.8544723368669292,0.9719629056654886
1994-10-01,231045820454.0325,23377.5,76.6075,40052.74,4.0,6.0,8.0,7945238.0,22.0,29078.488069022387,0.8708846153846154,1.2222222222222223,0.8565139337978337,0.9719629056654886
1994-11-01,234067578951.52167,23455.0,76.62833333333333,40123.26333333333,4.0,6.0,8.0,7946251.333333333,22.0,29455.391047429654,0.8712051282051282,1.2222222222222223,0.8585555307287382,0.9719629056654886
1994-12-01,237089337449.01083,23532.5,76.64916666666667,40193.78666666667,4.0,6.0,8.0,7947264.666666667,22.0,29832.29402583692,0.871525641025641,1.2222222222222223,0.8605971276596427,0.9719629056654886
1995-01-01,240111095946.5,23610.0,76.67,40264.31,4.0,6.0,8.0,7948278.0,22.0,30209.19700424419,0.8718461538461538,1.2222222222222223,0.8626387245905472,0.9719629056654886
1995-02-01,239861629130.2325,23688.333333333332,76.68666666666667,40350.181666666664,4.0,6.0,8.0,7949172.916666667,22.0,30174.456340899305,0.8721025641025641,1.2222222222222223,0.8624638002894028,0.9719629056654886
1995-03-01,239612162313.965,23766.666666666668,76.70333333333333,40436.05333333333,4.0,6.0,8.0,7950067.833333333,22.0,30139.71567755442,0.8723589743589744,1.2222222222222223,0.8622888759882583,0.9719629056654886
1995-04-01,239362695497.6975,23845.0,76.72,40521.924999999996,4.0,6.0,8.0,7950962.75,22.0,30104.975014209536,0.8726153846153846,1.2222222222222223,0.8621139516871139,0.9719629056654886
1995-05-01,239113228681.43,23923.333333333332,76.73666666666666,40607.79666666666,4.0,6.0,8.0,7951857.666666667,22.0,30070.23435086465,0.8728717948717949,1.2222222222222223,0.8619390273859694,0.9719629056654886
1995-06-01,238863761865.1625,24001.666666666668,76.75333333333333,40693.66833333333,4.0,6.0,8.0,7952752.583333333,22.0,30035.493687519767,0.8731282051282052,1.2222222222222223,0.861764103084825,0.9719629056654886
1995-07-01,238614295048.89502,24080.0,76.77000000000001,40779.53999999999,4.0,6.0,8.0,7953647.5,22.0,30000.753024174883,0.8733846153846154,1.2222222222222223,0.8615891787836805,0.9719629056654886
1995-08-01,238364828232.6275,24158.333333333332,76.78666666666668,40865.41166666667,4.0,6.0,8.0,7954542.416666667,22.0,29966.012360829995,0.8736410256410256,1.2222222222222223,0.8614142544825361,0.9719629056654886
1995-09-01,238115361416.36002,24236.666666666668,76.80333333333334,40951.28333333333,4.0,6.0,8.0,7955437.333333333,22.0,29931.27169748511,0.873897435897436,1.2222222222222223,0.8612393301813916,0.9719629056654886
1995-10-01,237865894600.0925,24315.0,76.82000000000001,41037.155,4.0,6.0,8.0,7956332.25,22.0,29896.531034140226,0.8741538461538463,1.2222222222222223,0.8610644058802471,0.9719629056654886
1995-11-01,237616427783.825,24393.333333333332,76.83666666666667,41123.026666666665,4.0,6.0,8.0,7957227.166666667,22.0,29861.79037079534,0.8744102564102565,1.2222222222222223,0.8608894815791027,0.9719629056654886
1995-12-01,237366960967.5575,24471.666666666668,76.85333333333334,41208.89833333333,4.0,6.0,8.0,7958122.083333333,22.0,29827.049707450456,0.8746666666666667,1.2222222222222223,0.8607145572779582,0.9719629056654886
1996-01-01,237117494151.29,24550.0,76.87,41294.77,4.0,6.0,8.0,7959017.0,22.0,29792.309044105572,0.874923076923077,1.2222222222222223,0.8605396329768138,0.9719629056654886
1996-02-01,235008161497.9675,24613.333333333332,76.9075,41348.185,4.0,6.0,8.0,7959769.0,22.0,29524.773213187575,0.8755000000000001,1.2222222222222223,0.8591043451145535,0.9719629056654886
1996-03-01,232898828844.64502,24676.666666666668,76.94500000000001,41401.6,4.0,6.0,8.0,7960521.0,22.0,29257.237382269577,0.8760769230769232,1.2222222222222223,0.8576690572522933,0.9719629056654886
1996-04-01,230789496191.3225,24740.0,76.9825,41455.015,4.0,6.0,8.0,7961273.0,22.0,28989.70155135158,0.8766538461538462,1.2222222222222223,0.8562337693900329,0.9719629056654886
